title,price_gbp,price_inr,rating
Boar Island (Anna Pigeon #19),59.48,6275.14,3
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4
El Deafo,57.62,6078.91,5
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,6019.83,4
A Year in Provence (Provence #1),56.88,6000.84,4
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,5988.18,4
The Past Never Ends,56.5,5960.75,4
The Last Painting of Sara de Vos,55.55,5860.52,2
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5860.52,5
A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5
